Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
BASES DE DATOS II  Aula: P106    Grupo: 2   ,15/01/2026,2:00:00 p.m.,15/01/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,16/01/2026,7:00:00 a.m.,16/01/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,16/01/2026,4:00:00 p.m.,16/01/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,16/01/2026,12:00:00 p.m.,16/01/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,16/01/2026,10:00:00 a.m.,16/01/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,19/01/2026,4:00:00 p.m.,19/01/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,19/01/2026,2:00:00 p.m.,19/01/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,19/01/2026,8:00:00 a.m.,19/01/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,20/01/2026,4:00:00 p.m.,20/01/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,20/01/2026,7:00:00 a.m.,20/01/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,20/01/2026,2:00:00 p.m.,20/01/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,21/01/2026,4:00:00 p.m.,21/01/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,21/01/2026,2:00:00 p.m.,21/01/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,21/01/2026,10:00:00 a.m.,21/01/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,21/01/2026,12:00:00 p.m.,21/01/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,22/01/2026,2:00:00 p.m.,22/01/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,23/01/2026,7:00:00 a.m.,23/01/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,23/01/2026,4:00:00 p.m.,23/01/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,23/01/2026,12:00:00 p.m.,23/01/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,23/01/2026,10:00:00 a.m.,23/01/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,26/01/2026,4:00:00 p.m.,26/01/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,26/01/2026,2:00:00 p.m.,26/01/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,26/01/2026,8:00:00 a.m.,26/01/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,27/01/2026,4:00:00 p.m.,27/01/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,27/01/2026,7:00:00 a.m.,27/01/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,27/01/2026,2:00:00 p.m.,27/01/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,28/01/2026,4:00:00 p.m.,28/01/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,28/01/2026,2:00:00 p.m.,28/01/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,28/01/2026,10:00:00 a.m.,28/01/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,28/01/2026,12:00:00 p.m.,28/01/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,29/01/2026,2:00:00 p.m.,29/01/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,30/01/2026,7:00:00 a.m.,30/01/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,30/01/2026,4:00:00 p.m.,30/01/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,30/01/2026,12:00:00 p.m.,30/01/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,30/01/2026,10:00:00 a.m.,30/01/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,02/02/2026,4:00:00 p.m.,02/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,02/02/2026,2:00:00 p.m.,02/02/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,02/02/2026,8:00:00 a.m.,02/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,03/02/2026,4:00:00 p.m.,03/02/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,03/02/2026,7:00:00 a.m.,03/02/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,03/02/2026,2:00:00 p.m.,03/02/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,04/02/2026,4:00:00 p.m.,04/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,04/02/2026,2:00:00 p.m.,04/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,04/02/2026,10:00:00 a.m.,04/02/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,04/02/2026,12:00:00 p.m.,04/02/2026,2:00:00 p.m.,FALSE,
